HS CODE	DESCRIPTION  / KEYWORD
293690	Vitamins
293690	Wound Salve topical
293690	Wound Salve topical
293690	Wound Salve topical
294110	Penicillin
300220	Antisera
300220	Heparin
300220	Immunological products
300220	Ricin
282990	Iodates
282990	Perbromates
283699	Carbonate
283699	Disodium tetraborate
283699	Manganate
283699	Metasilicate
283699	Peroxoborates
283699	Phosphinate
283699	Polyphosphate
283699	Sodium tripolyphosphate
283699	Tungstates
283699	Wolframate
284390	Amalgams
284390	Liquid air
284440	Plutonium
284440	Spent Heavy water
284700	Hydrogen peroxide
290129	Butanol
290129	Chlordane
290129	Chloroethane
290129	Cycloterpene
290129	Dichloromethane
290129	Ethylbenzene
290129	Ethylene dibromide
290129	Heptachlor
290129	Hexane
290129	Isobutene
290129	Methanol
290129	Propene
290129	Styrene
293690	Acidol digestol
293690	Acidol digestol
293690	Adreset
293690	Aleve
293690	Algae powder
293690	Alpha lipoic acid
293690	Alpha lipoic acid
293690	Anabol
293690	Barley tablet
293690	Body care products
293690	Bone healer
293690	Bone healer
293690	Caffeine
293690	Calmax
293690	Citrical calcium
293690	Citrus Silk
293690	Cold medicine
293690	Cortisone
293690	Dehydrocortisone
293690	Dietary pills
